Nombrebeca,Institucion,Aniobecariosconfirmados,Departamento,Carrera,Modalidad,Estrato Socioeconomico,Migracion
Beca 18,Universidad Nacional de Educación Enrique Guzmán y Valle,2025,La Cantuta,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Internacional
Beca 18,Universidad Nacional de Educación Enrique Guzmán y Valle,2025,La Cantuta,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Internacional
Beca 18,Universidad Nacional de Educación Enrique Guzmán y Valle,2025,La Cantuta,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Internacional
Beca 18,Universidad Nacional de Educación Enrique Guzmán y Valle,2025,La Cantuta,Todas las carreras elegibles,EIB,Variable,Internacional
Beca 18,Universidad Nacional de Educación Enrique Guzmán y Valle,2025,La Cantuta,Todas las carreras elegibles,Protección,Variable,Internacional
Beca 18,Universidad Nacional de Educación Enrique Guzmán y Valle,2025,La Cantuta,Todas las carreras elegibles,CNA y PA,Variable,Internacional
Beca 18,Universidad Nacional de Educación Enrique Guzmán y Valle,2025,La Cantuta,Todas las carreras elegibles,FF.AA.,Variable,Internacional
Beca 18,Universidad Nacional de Educación Enrique Guzmán y Valle,2025,La Cantuta,Todas las carreras elegibles,Repared,Víctimas de violencia,Internacional
Beca 18,Universidad Nacional de Educación Enrique Guzmán y Valle,2025,La Cantuta,Según modalidad,Ordinaria,Variable según modalidad,Internacional
Beca 18,Universidad Nacional Pedro Ruíz Gallo,2025,Lambayeque,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional Pedro Ruíz Gallo,2025,Lambayeque,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional Pedro Ruíz Gallo,2025,Lambayeque,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional Pedro Ruíz Gallo,2025,Lambayeque,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Nacional Pedro Ruíz Gallo,2025,Lambayeque,Todas las carreras elegibles,Protección,Variable,Posible migración
